Event,Start Date,Start Time,End Date,End Time,Location,Category,Description
Men's Basketball at  Université Laval,8/2/17,4:00 PM,8/2/17,7:00 PM,,Men's Basketball,Men's Basketball at  Université Laval 
Men's Basketball at  UQAM,8/3/17,4:00 PM,8/3/17,7:00 PM,,Men's Basketball,Men's Basketball at  UQAM 
Men's Basketball at  QC United,8/5/17,10:00 AM,8/5/17,1:00 PM,,Men's Basketball,Men's Basketball at  QC United 
Men's Soccer at  San Diego (Exhibition),8/12/17,7:00 PM,8/12/17,10:00 PM,"San Diego, CA",Men's Soccer,"Men's Soccer at  San Diego (Exhibition) San Diego, CA"
Men's Soccer at  California Baptist University (Exhibition),8/15/17,5:00 PM,8/15/17,8:00 PM,"Riverside, CA",Men's Soccer,"Men's Soccer at  California Baptist University (Exhibition) Riverside, CA"
Women's Soccer vs  Southern Utah,8/18/17,7:30 PM,8/18/17,10:30 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  Southern Utah Riverside, CA"
Men's Soccer vs  UNLV (Exhibition),8/19/17,7:30 PM,8/19/17,10:30 PM,"Riverside, CA",Men's Soccer,"Men's Soccer vs  UNLV (Exhibition) Riverside, CA"
Women's Soccer vs  Idaho,8/20/17,7:30 PM,8/20/17,10:30 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  Idaho Riverside, CA"
Women's Volleyball vs  Alumni,8/20/17,1:30 PM,8/20/17,4:30 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  Alumni Riverside, CA"
Women's Soccer at  Denver,8/25/17,4:00 PM,8/25/17,7:00 PM,"Denver, CO",Women's Soccer,"Women's Soccer at  Denver Denver, CO"
Men's Soccer at  CSU Bakersfield,8/25/17,7:00 PM,8/25/17,10:00 PM,"Bakersfield, CA",Men's Soccer,"Men's Soccer at  CSU Bakersfield Bakersfield, CA"
Women's Volleyball vs  Fairleigh Dickinson,8/25/17,5:00 PM,8/25/17,5:00 PM,"Fullerton, CA",Women's Volleyball,"Women's Volleyball vs  Fairleigh Dickinson Fullerton, CA"
Women's Volleyball vs  Bryant,8/26/17,11:00 AM,8/26/17,2:00 PM,"Fullerton, CA",Women's Volleyball,"Women's Volleyball vs  Bryant Fullerton, CA"
Women's Volleyball vs  Drake,8/26/17,7:30 PM,8/26/17,10:30 PM,"Fullerton, CA",Women's Volleyball,"Women's Volleyball vs  Drake Fullerton, CA"
Women's Soccer at  Colorado,8/27/17,12:00 PM,8/27/17,3:00 PM,"Boulder, CO",Women's Soccer,"Women's Soccer at  Colorado Boulder, CO"
Women's Soccer vs  Toledo,9/1/17,7:30 PM,9/1/17,10:30 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  Toledo Riverside, CA"
Women's Volleyball vs  Chicago State,9/1/17,12:00 PM,9/1/17,3:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  Chicago State Riverside, CA"
Women's Volleyball vs  San Jose State,9/1/17,5:00 PM,9/1/17,8:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  San Jose State Riverside, CA"
Men's Soccer at  Gonzaga,9/1/17,7:00 PM,9/1/17,10:00 PM,"Spokane, WA",Men's Soccer,"Men's Soccer at  Gonzaga Spokane, WA"
Women's Cross Country  Nature's Bakery Nevada Twilight Classic,9/1/17,8:40 PM,9/1/17,11:40 PM,"Sparks, NV",Women's Cross Country,"Women's Cross Country  Nature's Bakery Nevada Twilight Classic Sparks, NV"
Men's Cross Country  Nature's Bakery Nevada Twilight Classic,9/1/17,9:20 PM,9/2/17,12:30 AM,"Sparks, NV",Men's Cross Country,"Men's Cross Country  Nature's Bakery Nevada Twilight Classic Sparks, NV"
Women's Volleyball vs  Chicago State vs Southern Utah,9/2/17,1:00 PM,9/2/17,3:00 PM,"Riverside, CA ",Women's Volleyball,"Women's Volleyball vs  Chicago State vs Southern Utah Riverside, CA "
Women's Volleyball vs  Howard,9/2/17,8:00 PM,9/2/17,11:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  Howard Riverside, CA"
Men's Soccer vs  Oregon State,9/3/17,11:00 AM,9/3/17,2:00 PM,"Spokane, WA",Men's Soccer,"Men's Soccer vs  Oregon State Spokane, WA"
Women's Soccer vs  Penn,9/3/17,7:00 PM,9/3/17,10:00 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  Penn Riverside, CA"
Women's Soccer vs  Grambling State,9/8/17,3:30 PM,9/8/17,6:30 PM,"Moraga, CA",Women's Soccer,"Women's Soccer vs  Grambling State Moraga, CA"
Men's Soccer at  Omaha,9/8/17,5:30 PM,9/8/17,8:30 PM,"Omaha, NE",Men's Soccer,"Men's Soccer at  Omaha Omaha, NE"
Women's Volleyball vs  Texas Rio Grande Valley,9/8/17,8:00 AM,9/8/17,11:00 AM,"Lubbock, TX",Women's Volleyball,"Women's Volleyball vs  Texas Rio Grande Valley Lubbock, TX"
Women's Volleyball at  Texas Tech,9/8/17,4:00 PM,9/8/17,7:00 PM,"Lubbock, TX",Women's Volleyball,"Women's Volleyball at  Texas Tech Lubbock, TX"
Women's Volleyball vs  Lamar,9/9/17,9:00 AM,9/9/17,12:00 PM,"Lubbock, TX",Women's Volleyball,"Women's Volleyball vs  Lamar Lubbock, TX"
Women's Soccer at  Saint Mary's,9/10/17,3:30 PM,9/10/17,6:30 PM,"Moraga, CA",Women's Soccer,"Women's Soccer at  Saint Mary's Moraga, CA"
Men's Soccer at  Grand Canyon,9/14/17,7:00 PM,9/14/17,10:00 PM,"Phoenix, AZ",Men's Soccer,"Men's Soccer at  Grand Canyon Phoenix, AZ"
Women's Volleyball vs  San Diego State,9/15/17,2:00 PM,9/15/17,5:00 PM,"Denver, CO",Women's Volleyball,"Women's Volleyball vs  San Diego State Denver, CO"
Women's Soccer at  Fresno State,9/15/17,7:00 PM,9/15/17,10:00 PM,"Fresno, CA",Women's Soccer,"Women's Soccer at  Fresno State Fresno, CA"
Women's Volleyball at  Denver,9/16/17,11:30 AM,9/16/17,2:30 PM,"Denver, CO",Women's Volleyball,"Women's Volleyball at  Denver Denver, CO"
Women's Volleyball vs  Gonzaga,9/16/17,3:00 PM,9/16/17,6:00 PM,"Denver, CO",Women's Volleyball,"Women's Volleyball vs  Gonzaga Denver, CO"
Women's Cross Country  UC Riverside Invitational,9/16/17,7:30 AM,9/16/17,10:30 AM,"Riverside, CA",Women's Cross Country,"Women's Cross Country  UC Riverside Invitational Riverside, CA"
Men's Cross Country  UC Riverside Invitational,9/16/17,8:05 AM,9/16/17,11:05 AM,"Riverside, CA",Men's Cross Country,"Men's Cross Country  UC Riverside Invitational Riverside, CA"
Men's Soccer vs  Vermont,9/17/17,11:00 AM,9/17/17,2:00 PM,"Riverside, CA",Men's Soccer,"Men's Soccer vs  Vermont Riverside, CA"
Women's Soccer at  UNLV,9/17/17,4:00 PM,9/17/17,7:00 PM,"Las Vegas, NV",Women's Soccer,"Women's Soccer at  UNLV Las Vegas, NV"
Women's Volleyball vs  Long Beach State,9/19/17,7:00 PM,9/19/17,10:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  Long Beach State Riverside, CA"
Women's Volleyball at  UC Santa Barbara,9/22/17,7:00 PM,9/22/17,10:00 PM,"Santa Barbara, CA",Women's Volleyball,"Women's Volleyball at  UC Santa Barbara Santa Barbara, CA"
Women's Soccer vs  San Francisco,9/22/17,7:00 PM,9/22/17,10:00 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  San Francisco Riverside, CA"
Women's Volleyball at  Cal Poly,9/23/17,4:30 PM,9/23/17,8:00 PM,"San Luis Obispo, CA",Women's Volleyball,"Women's Volleyball at  Cal Poly San Luis Obispo, CA"
Men's Soccer at  Loyola Marymount,9/24/17,1:00 PM,9/24/17,4:00 PM,"Los Angeles, CA",Men's Soccer,"Men's Soccer at  Loyola Marymount Los Angeles, CA"
Women's Soccer at  CSU Bakersfield,9/24/17,6:00 PM,9/24/17,9:00 PM,"Bakersfield, CA",Women's Soccer,"Women's Soccer at  CSU Bakersfield Bakersfield, CA"
Women's Golf  Golfweek Conference Challenge,9/25/17, PM,9/26/17,11:59 PM,"Vail, CO",Women's Golf,"Women's Golf  Golfweek Conference Challenge Vail, CO"
Men's Golf  Colorado Invitational,9/25/17, PM,9/25/17,11:59 PM,"Denver, CO",Men's Golf,"Men's Golf  Colorado Invitational Denver, CO"
Men's Soccer at  Cal Poly,9/28/17,7:00 PM,9/28/17,10:00 PM,"San Luis Obispo, CA",Men's Soccer,"Men's Soccer at  Cal Poly San Luis Obispo, CA"
Men's Cross Country  Joe Piane Invitational,9/29/17,11:00 AM,9/29/17,2:00 PM,"South Bend, IN",Men's Cross Country,"Men's Cross Country  Joe Piane Invitational South Bend, IN"
Women's Cross Country  Joe Piane Invitational,9/29/17,11:00 AM,9/29/17,2:00 PM,"South Bend, Ind.",Women's Cross Country,"Women's Cross Country  Joe Piane Invitational South Bend, Ind."
Women's Soccer at  UC Santa Barbara,9/29/17,7:00 PM,9/29/17,10:00 PM,"Santa Barbara, CA",Women's Soccer,"Women's Soccer at  UC Santa Barbara Santa Barbara, CA"
Men's Soccer at  UC Santa Barbara,9/30/17,7:00 PM,9/30/17,10:00 PM,"Santa Barbara, CA",Men's Soccer,"Men's Soccer at  UC Santa Barbara Santa Barbara, CA"
Women's Volleyball vs  Hawaii,9/30/17,7:00 PM,9/30/17,10:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  Hawaii Riverside, CA"
Women's Golf  Wyoming Desert Intercollegiate,9/30/17, PM,9/30/17,11:59 PM,"Palm Desert, CA",Women's Golf,"Women's Golf  Wyoming Desert Intercollegiate Palm Desert, CA"
Women's Soccer at  Cal Poly,10/1/17,12:00 PM,10/1/17,3:00 PM,"San Luis Obispo, CA",Women's Soccer,"Women's Soccer at  Cal Poly San Luis Obispo, CA"
Men's Golf  Nick Watney Invitational,10/2/17, PM,10/2/17,11:59 PM,"Fresno, CA",Men's Golf,"Men's Golf  Nick Watney Invitational Fresno, CA"
General vs  Coaches' Show,10/4/17,6-7 pm,10/4/17,3:00 AM,Cask & Cleaver,General,General vs  Coaches' Show Cask & Cleaver
Women's Soccer vs  Cal State Fullerton,10/5/17,5:00 PM,10/5/17,8:00 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  Cal State Fullerton Riverside, CA"
Men's Soccer vs  Sacramento State,10/5/17,8:00 PM,10/5/17,11:00 PM,"Riverside, CA",Men's Soccer,"Men's Soccer vs  Sacramento State Riverside, CA"
Women's Tennis vs  Long Beach State,10/6/17,All Day PM,10/7/17,11:59 PM,"Long Beach, CA",Women's Tennis,"Women's Tennis vs  Long Beach State Long Beach, CA"
Women's Volleyball vs  Cal State Fullerton,10/7/17,4:00 PM,10/7/17,7:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  Cal State Fullerton Riverside, CA"
Men's Soccer vs  UC Davis,10/7/17,7:00 PM,10/7/17,10:00 PM,"Riverside, CA",Men's Soccer,"Men's Soccer vs  UC Davis Riverside, CA"
Women's Golf  New Mexico State Aggie Invitational,10/9/17, PM,10/10/17,11:59 PM,"Las Cruces, NM",Women's Golf,"Women's Golf  New Mexico State Aggie Invitational Las Cruces, NM"
Men's Soccer at  UC Irvine,10/11/17,7:00 PM,10/11/17,10:00 PM,"Irvine, CA",Men's Soccer,"Men's Soccer at  UC Irvine Irvine, CA"
Women's Soccer vs  CSUN,10/12/17,7:00 PM,10/12/17,10:00 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  CSUN Riverside, CA"
Women's Volleyball vs  UC Davis,10/13/17,7:00 PM,10/13/17,10:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  UC Davis Riverside, CA"
Men's Cross Country  Highlander Invitational,10/14/17,8:00 AM,10/14/17,11:00 AM,"Riverside, CA",Men's Cross Country,"Men's Cross Country  Highlander Invitational Riverside, CA"
Women's Volleyball at  UC Irvine,10/14/17,7:00 PM,10/14/17,10:00 PM,"Irvine, CA",Women's Volleyball,"Women's Volleyball at  UC Irvine Irvine, CA"
Men's Soccer vs  Cal State Fullerton,10/14/17,7:00 PM,10/14/17,10:00 PM,"Riverside, CA",Men's Soccer,"Men's Soccer vs  Cal State Fullerton Riverside, CA"
Women's Cross Country  Highlander invitational,10/14/17,8:30 AM,10/14/17,11:00 AM,"Riverside, CA",Women's Cross Country,"Women's Cross Country  Highlander invitational Riverside, CA"
Women's Soccer at  UC Irvine,10/15/17,2:00 PM,10/15/17,5:00 PM,"Irvine, CA",Women's Soccer,"Women's Soccer at  UC Irvine Irvine, CA"
Men's Golf  Bill Cullum Intercollegiate,10/16/17, PM,10/16/17,11:59 PM,"Simi Valley, CA",Men's Golf,"Men's Golf  Bill Cullum Intercollegiate Simi Valley, CA"
Men's Soccer at  CSUN,10/18/17,7:00 PM,10/18/17,10:00 PM,"Northridge, CA",Men's Soccer,"Men's Soccer at  CSUN Northridge, CA"
Women's Tennis vs  ITA West Regional Tournament,10/19/17,All Day PM,10/22/17,11:59 PM,"San Diego, CA",Women's Tennis,"Women's Tennis vs  ITA West Regional Tournament San Diego, CA"
Women's Volleyball at  Hawaii,10/20/17,10:00 PM,10/21/17,1:00 AM,"Honolulu, HI",Women's Volleyball,"Women's Volleyball at  Hawaii Honolulu, HI"
Men's Soccer at  Cal State Fullerton,10/21/17,7:00 PM,10/21/17,10:00 PM,"Fullerton, CA",Men's Soccer,"Men's Soccer at  Cal State Fullerton Fullerton, CA"
Women's Soccer at  Long Beach State,10/22/17,6:00 PM,10/22/17,9:00 PM,"Long Beach, CA",Women's Soccer,"Women's Soccer at  Long Beach State Long Beach, CA"
Women's Golf  UNLV,10/22/17, PM,10/23/17,11:59 PM,"Las Vegas, NV",Women's Golf,"Women's Golf  UNLV Las Vegas, NV"
Men's Soccer vs  UC Irvine,10/25/17,7:00 PM,10/25/17,10:00 PM,"Riverside, CA",Men's Soccer,"Men's Soccer vs  UC Irvine Riverside, CA"
Women's Soccer vs  UC Davis,10/26/17,7:00 PM,10/26/17,10:00 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  UC Davis Riverside, CA"
Men's Golf  Pacific Invitational,10/26/17, PM,10/27/17,11:59 PM,"Stockton, CA",Men's Golf,"Men's Golf  Pacific Invitational Stockton, CA"
Women's Basketball vs  Cal State San Marcos (Exhibition),10/27/17,7:00 PM,10/27/17,10:00 PM,,Women's Basketball,Women's Basketball vs  Cal State San Marcos (Exhibition) 
Women's Volleyball at  Cal State Fullerton,10/28/17,4:00 PM,10/28/17,7:00 PM,"Fullerton, CA",Women's Volleyball,"Women's Volleyball at  Cal State Fullerton Fullerton, CA"
Men's Soccer vs  CSUN,10/28/17,7:00 PM,10/28/17,10:00 PM,"Riverside, CA",Men's Soccer,"Men's Soccer vs  CSUN Riverside, CA"
Women's Cross Country  Big West Conference Championship,10/28/17,8:30 AM,10/28/17,11:30 AM,"Riverside, CA",Women's Cross Country,"Women's Cross Country  Big West Conference Championship Riverside, CA"
Men's Cross Country  Big West Conference Championship,10/28/17,9:15 AM,10/28/17,12:15 PM,"Riverside, CA",Men's Cross Country,"Men's Cross Country  Big West Conference Championship Riverside, CA"
Women's Soccer vs  Hawai'i,10/29/17,2:00 PM,10/29/17,5:00 PM,"Riverside, CA",Women's Soccer,"Women's Soccer vs  Hawai'i Riverside, CA"
Women's Golf  UC Irvine Anteater Invitational,10/30/17, PM,10/30/17,11:59 PM,"Santa Ana, CA",Women's Golf,"Women's Golf  UC Irvine Anteater Invitational Santa Ana, CA"
Men's Soccer at  UC Santa Barbara (BWT 1st Rd),11/1/17,7:00 PM,11/1/17,10:00 PM,"Santa Barbara, CA",Men's Soccer,"Men's Soccer at  UC Santa Barbara (BWT 1st Rd) Santa Barbara, CA"
General vs  Coaches' Show,11/1/17,6-7 pm,11/1/17,3:00 AM,Lake Alice Trading Company,General,General vs  Coaches' Show Lake Alice Trading Company
Women's Volleyball vs  UC Irvine,11/2/17,7:00 PM,11/2/17,10:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  UC Irvine Riverside, CA"
Women's Soccer vs  CSUN (BWT Semis),11/2/17,7:30 PM,11/2/17,10:30 PM,"Northridge, CA",Women's Soccer,"Women's Soccer vs  CSUN (BWT Semis) Northridge, CA"
Women's Tennis vs  Kramer Fall Tournament,11/2/17,All Day PM,11/3/17,11:59 PM,"Rolling Hills Estates, CA",Women's Tennis,"Women's Tennis vs  Kramer Fall Tournament Rolling Hills Estates, CA"
Men's Basketball vs  Stanislaus State (Exhibition),11/4/17,2:00 PM,11/4/17,5:00 PM,,Men's Basketball,Men's Basketball vs  Stanislaus State (Exhibition) 
Women's Basketball vs  California Baptist University (Exhibition),11/4/17,6:00 PM,11/4/17,9:00 PM,"Riverside, CA",Women's Basketball,"Women's Basketball vs  California Baptist University (Exhibition) Riverside, CA"
Women's Volleyball at  UC Davis,11/4/17,7:00 PM,11/4/17,10:00 PM,"Davis, CA",Women's Volleyball,"Women's Volleyball at  UC Davis Davis, CA"
Men's Soccer at  Cal State Fullerton (BWT Semifinals),11/4/17,7:00 PM,11/4/17,10:00 PM,"Fullerton, CA",Men's Soccer,"Men's Soccer at  Cal State Fullerton (BWT Semifinals) Fullerton, CA"
Men's Tennis vs  Alumni,11/4/17,10:00 AM,11/4/17,1:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Alumni Student Recreation Center
Women's Volleyball at  Long Beach State,11/10/17,7:00 PM,11/10/17,10:00 PM,"Long Beach, CA",Women's Volleyball,"Women's Volleyball at  Long Beach State Long Beach, CA"
Women's Basketball vs  Loyola Marymount,11/10/17,7:00 PM,11/10/17,10:00 PM,"Riverside, CA",Women's Basketball,"Women's Basketball vs  Loyola Marymount Riverside, CA"
Men's Basketball at  Cal,11/10/17,9:00 PM,11/10/17,11:59 PM,"Berkeley, CA",Men's Basketball,"Men's Basketball at  Cal Berkeley, CA"
Women's Tennis vs  CSUN Fall Invitational,11/10/17,All Day PM,11/11/17,11:59 PM,"Northridge, CA",Women's Tennis,"Women's Tennis vs  CSUN Fall Invitational Northridge, CA"
Women's Cross Country  NCAA West Regional Championships,11/10/17,TBD PM,11/10/17,3:00 AM,"Seattle, WA",Women's Cross Country,"Women's Cross Country  NCAA West Regional Championships Seattle, WA"
Men's Cross Country  NCAA West Regional Championships,11/10/17,TBD PM,11/10/17,3:00 AM,"Seattle, WA",Men's Cross Country,"Men's Cross Country  NCAA West Regional Championships Seattle, WA"
Women's Volleyball at  CSUN,11/11/17,7:00 PM,11/11/17,10:00 PM,"Northridge, CA",Women's Volleyball,"Women's Volleyball at  CSUN Northridge, CA"
Women's Basketball vs  USC,11/13/17,7:00 PM,11/13/17,10:00 PM,"Riverside, CA",Women's Basketball,"Women's Basketball vs  USC Riverside, CA"
Men's Basketball at  LMU,11/15/17,7:00 PM,11/15/17,10:00 PM,"Los Angeles, CA ",Men's Basketball,"Men's Basketball at  LMU Los Angeles, CA "
Women's Basketball at  #14 Stanford,11/17/17,7:00 PM,11/17/17,10:00 PM,"Stanford, CA",Women's Basketball,"Women's Basketball at  #14 Stanford Stanford, CA"
Women's Volleyball vs  Cal Poly,11/17/17,7:00 PM,11/17/17,10:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  Cal Poly Riverside, CA"
Men's Basketball vs  Portland State ,11/18/17,4:00 PM,11/18/17,7:00 PM,,Men's Basketball,Men's Basketball vs  Portland State  
Women's Volleyball vs  UC Santa Barbara,11/18/17,7:30 PM,11/18/17,10:30 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  UC Santa Barbara Riverside, CA"
Men's Cross Country  NCAA National Championships,11/18/17,TBD PM,11/18/17,3:00 AM,"Louisville, KY",Men's Cross Country,"Men's Cross Country  NCAA National Championships Louisville, KY"
Women's Cross Country  NCAA National Championships,11/18/17,TBD PM,11/18/17,3:00 AM,"Louisville, KY",Women's Cross Country,"Women's Cross Country  NCAA National Championships Louisville, KY"
Women's Basketball at  Fresno State,11/19/17,2:00 PM,11/19/17,5:00 PM,"Fresno, CA",Women's Basketball,"Women's Basketball at  Fresno State Fresno, CA"
Women's Volleyball vs  CSUN,11/21/17,7:00 PM,11/21/17,10:00 PM,"Riverside, CA",Women's Volleyball,"Women's Volleyball vs  CSUN Riverside, CA"
Men's Basketball vs  Western New Mexico,11/22/17,7:00 PM,11/22/17,10:00 PM,,Men's Basketball,Men's Basketball vs  Western New Mexico 
Women's Basketball at  SMU,11/24/17,4:30 PM,11/24/17,7:30 PM,"Reno, NV",Women's Basketball,"Women's Basketball at  SMU Reno, NV"
Women's Basketball vs  Sacramento State,11/26/17,11:00 AM,11/26/17,2:00 PM,"Reno, NV",Women's Basketball,"Women's Basketball vs  Sacramento State Reno, NV"
Men's Basketball at  Michigan,11/26/17,1:00 PM,11/26/17,4:00 PM,"Ann Arbor, MI",Men's Basketball,"Men's Basketball at  Michigan Ann Arbor, MI"
Women's Basketball at  #7 UCLA,11/28/17,7:00 PM,11/28/17,10:00 PM,"Los Angeles, CA",Women's Basketball,"Women's Basketball at  #7 UCLA Los Angeles, CA"
Men's Basketball vs  Pacific,11/30/17,7:00 PM,11/30/17,10:00 PM,,Men's Basketball,Men's Basketball vs  Pacific 
Women's Basketball vs  UNLV,12/2/17,10:30 AM,12/2/17,1:30 PM,"Tempe, AZ",Women's Basketball,"Women's Basketball vs  UNLV Tempe, AZ"
Men's Basketball at  Grand Canyon,12/2/17,6:00 PM,12/2/17,9:00 PM,"Phoenix, AZ",Men's Basketball,"Men's Basketball at  Grand Canyon Phoenix, AZ"
Women's Basketball at  Arizona State,12/3/17,1:30 PM,12/3/17,4:30 PM,"Tempe, AZ",Women's Basketball,"Women's Basketball at  Arizona State Tempe, AZ"
Men's Basketball at  Pepperdine,12/5/17,7:00 PM,12/5/17,10:00 PM,"Malibu, CA",Men's Basketball,"Men's Basketball at  Pepperdine Malibu, CA"
Women's Basketball vs  CSU Bakersfield,12/6/17,11:00 AM,12/6/17,2:00 PM,"Riverside, CA",Women's Basketball,"Women's Basketball vs  CSU Bakersfield Riverside, CA"
General vs  Coaches' Show,12/6/17,6-7 pm,12/6/17,3:00 AM,Lake Alice Trading Company,General,General vs  Coaches' Show Lake Alice Trading Company
Men's Basketball vs  Air Force,12/8/17,7:00 PM,12/8/17,10:00 PM,,Men's Basketball,Men's Basketball vs  Air Force 
Women's Basketball at  Iowa State,12/17/17,12:00 PM,12/17/17,3:00 PM,"Ames, IA",Women's Basketball,"Women's Basketball at  Iowa State Ames, IA"
Men's Basketball at  Montana,12/17/17,12:00 PM,12/17/17,3:00 PM,"Missoula, MT",Men's Basketball,"Men's Basketball at  Montana Missoula, MT"
Women's Basketball at  South Dakota,12/19/17,5:00 PM,12/19/17,8:00 PM,"Vermillion, SD",Women's Basketball,"Women's Basketball at  South Dakota Vermillion, SD"
Men's Basketball vs  Valparaiso,12/20/17,7:00 PM,12/20/17,10:00 PM,,Men's Basketball,Men's Basketball vs  Valparaiso 
Women's Basketball at  Minnesota,12/22/17,11:00 AM,12/22/17,2:00 PM,"Minneapolis, MN",Women's Basketball,"Women's Basketball at  Minnesota Minneapolis, MN"
