Event,Start Date,Start Time,End Date,End Time,Location,Category,Description
Women's Tennis vs  Colorado State University,2/10/18,10:00 AM,2/10/18,1:00 PM,"Las Vegas, NV",Women's Tennis,"Women's Tennis vs  Colorado State University Las Vegas, NV"
Women's Basketball at  UC Irvine,2/10/18,2:00 PM,2/10/18,5:00 PM,"Irvine, CA",Women's Basketball,"Women's Basketball at  UC Irvine Irvine, CA"
Women's Tennis at  UNLV,2/10/18,2:00 PM,2/10/18,5:00 PM,"Las Vegas, NV",Women's Tennis,"Women's Tennis at  UNLV Las Vegas, NV"
Softball vs  Maryland,2/10/18,2:30 PM,2/10/18,5:30 PM,"Los Angeles, CA",Softball,"Softball vs  Maryland Los Angeles, CA"
Men's Basketball vs  UC Irvine,2/10/18,5:00 PM,2/10/18,8:00 PM,,Men's Basketball,Men's Basketball vs  UC Irvine 
Men's Tennis vs  Biola University,2/10/18,10:00 AM,2/10/18,1:00 PM,Student Recreation Center,Men's Tennis,Men's Tennis vs  Biola University Student Recreation Center
Women's Tennis vs  Youngstown State University,2/11/18,10:00 AM,2/11/18,1:00 PM,"Las Vegas, NV",Women's Tennis,"Women's Tennis vs  Youngstown State University Las Vegas, NV"
Softball vs  Middle Tennessee,2/11/18,11:30 AM,2/11/18,2:30 PM,"Los Angeles, CA",Softball,"Softball vs  Middle Tennessee Los Angeles, CA"
Softball vs  UCLA,2/11/18,4:30 PM,2/11/18,7:30 PM,"Los Angeles, CA",Softball,"Softball vs  UCLA Los Angeles, CA"
Men's Golf  University of San Diego,2/12/18, PM,2/12/18,11:59 PM,"San Diego, CA",Men's Golf,"Men's Golf  University of San Diego San Diego, CA"
Women's Golf  Battle at the Rock ,2/12/18, PM,2/12/18,11:59 PM,"Riverside, CA",Women's Golf,"Women's Golf  Battle at the Rock  Riverside, CA"
Softball vs  San Diego State,2/14/18,1:00 PM,2/14/18,4:00 PM,,Softball,Softball vs  San Diego State 
Men's Basketball at  CSUN,2/14/18,7:00 PM,2/14/18,10:00 PM,"Northridge, CA",Men's Basketball,"Men's Basketball at  CSUN Northridge, CA"
Women's Basketball vs  CSUN,2/15/18,7:00 PM,2/15/18,10:00 PM,"Riverside, CA",Women's Basketball,"Women's Basketball vs  CSUN Riverside, CA"
Baseball vs  Washington State,2/16/18,11:00 AM,2/16/18,2:00 PM,"Tempe, AZ",Baseball,"Baseball vs  Washington State Tempe, AZ"
Baseball vs  Nebraska,2/16/18,3:00 PM,2/16/18,6:00 PM,"Tempe, AZ",Baseball,"Baseball vs  Nebraska Tempe, AZ"
Men's Golf  Wyoming Desert Intercollegiate,2/16/18, PM,2/17/18,11:59 PM,"Palm Desert, CA",Men's Golf,"Men's Golf  Wyoming Desert Intercollegiate Palm Desert, CA"
